,AVERAGE_SPEED_DIFF,AVERAGE_FREE_FLOW_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,LUMINOSITY,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,AVERAGE_CLOUDINESS,HOUR,DAY,MONTH,YEAR
1371,1,42.0,0.6,79.0,0,9.0,1022.0,81.0,4.0,1.0,0,14,11,2018
1372,3,42.3,52.4,82.3,2,19.0,1019.0,53.0,8.0,1.0,9,25,9,2018
1373,2,40.0,20.9,83.8,2,29.0,1014.0,42.0,2.0,1.0,13,21,8,2018
1374,1,46.5,1.1,84.1,0,17.0,1016.0,49.0,4.0,1.0,5,20,10,2018
1375,3,38.8,46.0,73.7,2,22.0,1018.0,77.0,3.0,6.0,16,27,6,2019
1377,1,37.1,14.8,89.0,2,21.0,1017.0,94.0,0.0,4.0,12,23,7,2019
1378,2,38.9,35.4,94.6,2,19.0,1017.0,45.0,5.0,1.0,10,8,10,2018
1381,1,42.4,15.7,86.1,2,20.0,1020.0,30.0,2.0,1.0,13,7,10,2018
1383,1,38.5,5.9,70.7,1,16.0,1014.0,72.0,4.0,6.0,20,4,6,2019
1386,1,47.2,3.5,81.4,0,7.0,1009.0,75.0,3.0,1.0,1,28,10,2018
1390,2,36.5,34.0,79.5,2,18.0,1016.0,63.0,3.0,1.0,16,14,11,2018
1391,4,43.5,120.7,87.4,2,13.0,1011.0,100.0,3.0,5.0,8,18,10,2018
1392,4,46.1,76.4,75.5,2,13.0,1019.0,76.0,7.0,4.0,8,26,11,2018
1393,2,34.2,32.4,92.5,2,18.0,1020.0,34.0,2.0,1.0,12,7,10,2018
1396,0,44.9,1.6,68.4,0,7.0,1014.0,87.0,3.0,2.0,6,3,4,2019
1397,2,37.8,25.7,82.4,2,13.0,1018.0,67.0,5.0,3.0,16,18,2,2019
1398,2,32.1,55.2,86.4,2,14.0,1032.0,76.0,1.0,1.0,13,8,12,2018
1399,3,46.2,26.2,85.1,0,13.0,1025.0,82.0,2.0,1.0,19,21,2,2019
1400,0,42.0,0.0,76.8,0,9.0,1023.0,87.0,2.0,1.0,23,4,12,2018
1401,0,37.8,1.1,63.2,0,14.0,1017.0,87.0,3.0,3.0,3,11,6,2019
1402,0,44.8,0.0,82.8,0,13.0,1013.0,72.0,3.0,3.0,23,14,10,2018
1403,0,40.4,0.0,89.8,0,14.0,1021.0,100.0,1.0,1.0,6,24,9,2018
1404,1,39.6,4.7,79.1,0,17.0,1017.0,67.0,0.0,1.0,20,4,10,2018
1405,1,34.2,7.8,82.2,1,12.0,1016.0,76.0,4.0,4.0,19,25,4,2019
1407,0,44.5,0.0,85.0,0,15.0,1022.0,38.0,3.0,1.0,3,23,10,2018
1409,0,38.4,13.0,83.7,0,19.0,1018.0,88.0,2.0,1.0,19,16,9,2018
1410,0,42.5,0.0,62.9,0,11.0,1016.0,93.0,2.0,6.0,1,21,5,2019
1411,0,43.8,8.6,86.3,0,18.0,1016.0,93.0,5.0,6.0,3,7,8,2018
1412,1,36.8,16.2,84.6,2,15.0,1021.0,72.0,2.0,6.0,10,9,6,2019
1415,1,35.2,10.5,98.6,2,14.0,1023.0,67.0,5.0,5.0,14,10,2,2019
1417,2,38.7,49.9,87.7,2,18.0,1014.0,88.0,3.0,4.0,11,20,9,2019
1421,3,40.6,63.1,85.0,2,21.0,1015.0,78.0,1.0,4.0,18,8,7,2019
1423,2,41.7,18.6,80.9,2,22.0,1018.0,57.0,3.0,1.0,14,30,8,2018
1425,2,41.5,13.0,70.7,1,19.0,1017.0,93.0,1.0,3.0,20,25,7,2019
1426,2,40.4,42.3,87.9,2,20.0,1020.0,68.0,6.0,1.0,15,29,8,2018
1428,3,41.9,37.9,93.4,0,12.0,1020.0,81.0,1.0,3.0,19,4,3,2019
1429,2,33.8,28.6,70.3,2,18.0,1018.0,88.0,2.0,6.0,11,22,5,2019
1431,0,45.5,1.4,81.8,0,16.0,1018.0,93.0,7.0,6.0,4,24,9,2019
1436,0,40.5,7.6,85.3,2,25.0,1017.0,69.0,1.0,1.0,8,4,8,2018
1437,2,47.1,2.6,84.0,0,11.0,1025.0,62.0,5.0,5.0,7,27,2,2019
1438,4,46.1,89.0,85.7,2,21.0,1013.0,60.0,2.0,1.0,17,19,10,2018
1440,3,35.2,53.7,78.5,2,13.0,1020.0,82.0,6.0,6.0,18,10,4,2019
1442,0,42.0,0.0,73.6,2,10.0,1019.0,87.0,2.0,2.0,7,13,4,2019
1443,0,42.8,1.7,86.2,0,14.0,1020.0,93.0,0.0,1.0,5,22,10,2018
1445,2,37.1,26.5,92.5,2,26.0,1016.0,61.0,2.0,1.0,9,3,8,2018
1447,2,41.2,21.1,82.5,0,15.0,1015.0,93.0,8.0,4.0,20,9,11,2018
1448,3,38.0,171.2,88.5,2,18.0,1009.0,68.0,5.0,6.0,17,21,4,2019
1451,3,46.7,29.5,76.1,0,13.0,1003.0,93.0,0.0,5.0,19,19,11,2018
1455,1,35.3,12.5,92.5,0,11.0,1018.0,81.0,2.0,3.0,20,29,1,2019
1457,0,45.8,0.0,86.6,2,13.0,1024.0,100.0,0.0,4.0,8,3,11,2018
1461,0,44.5,0.0,85.0,0,22.0,1016.0,31.0,3.0,1.0,4,20,8,2018
1462,2,42.2,17.7,84.7,0,19.0,1019.0,100.0,4.0,3.0,20,16,8,2019
1463,2,37.9,24.3,86.3,0,18.0,1007.0,55.0,1.0,1.0,19,9,10,2018
1464,0,39.2,0.0,71.2,0,7.0,1025.0,100.0,3.0,5.0,2,1,12,2018
1466,3,34.4,87.5,91.6,2,23.0,1018.0,68.0,8.0,4.0,15,12,10,2018
1467,2,33.1,30.3,93.2,2,14.0,1027.0,87.0,4.0,4.0,17,1,3,2019
1470,2,42.8,4.7,77.8,0,6.0,1016.0,93.0,2.0,4.0,7,30,1,2019
1471,2,39.5,28.8,85.1,0,7.0,1005.0,91.0,1.0,1.0,17,26,11,2018
1472,3,34.7,53.5,78.2,2,16.0,1014.0,77.0,8.0,3.0,14,16,5,2019
1474,1,37.5,10.2,82.8,2,33.0,1014.0,30.0,2.0,1.0,14,1,9,2018
1477,2,50.3,5.1,83.6,0,16.0,1017.0,93.0,1.0,6.0,22,19,6,2019
1478,3,40.9,38.2,86.5,2,21.0,1012.0,77.0,2.0,4.0,18,3,9,2018
1479,2,36.5,56.5,83.8,2,15.0,1023.0,82.0,3.0,6.0,9,11,5,2019
1480,2,32.0,23.9,90.1,2,6.0,1031.0,65.0,4.0,1.0,11,4,2,2019
1481,3,45.2,52.6,68.2,2,14.0,1008.0,87.0,3.0,4.0,18,6,6,2019
1485,0,42.4,0.0,86.6,0,16.0,1020.0,87.0,1.0,1.0,4,11,9,2018
1486,2,34.7,21.7,93.1,2,14.0,1022.0,58.0,3.0,1.0,16,20,2,2019
1488,3,37.6,47.4,78.8,2,17.0,1017.0,72.0,6.0,2.0,15,2,4,2019
1489,3,44.5,90.2,79.1,0,13.0,1023.0,87.0,0.0,4.0,18,11,12,2018
1491,3,41.8,68.3,88.1,2,20.0,1018.0,77.0,7.0,1.0,17,13,8,2018
1492,2,37.4,36.0,92.1,2,21.0,1022.0,56.0,4.0,1.0,11,22,10,2018
1493,1,44.0,13.0,87.4,2,20.0,1021.0,31.0,4.0,1.0,12,1,10,2018
1495,2,39.0,43.2,87.4,2,15.0,1013.0,58.0,8.0,5.0,14,27,10,2018
1497,0,43.0,0.0,71.3,0,10.0,1014.0,82.0,2.0,3.0,4,7,6,2019
1498,2,46.5,20.7,76.5,2,18.0,1014.0,100.0,4.0,4.0,7,9,8,2019
1500,2,35.7,18.7,88.3,2,19.0,1017.0,100.0,0.0,4.0,11,23,7,2019
1501,1,42.1,4.7,86.6,0,11.0,1027.0,81.0,4.0,1.0,3,22,2,2019
1502,2,39.4,21.0,67.6,2,17.0,1014.0,77.0,7.0,4.0,13,16,5,2019
1503,3,34.1,41.6,75.1,2,20.0,1018.0,82.0,3.0,4.0,11,3,6,2019
1505,0,36.9,0.0,77.1,0,11.0,1020.0,87.0,5.0,3.0,22,26,1,2019
1507,2,35.0,23.2,99.9,2,23.0,1015.0,73.0,3.0,6.0,11,6,7,2019
1508,3,40.4,44.0,87.4,2,20.0,1019.0,64.0,6.0,1.0,15,28,9,2018
1511,3,37.1,123.5,89.6,2,23.0,1018.0,54.0,4.0,1.0,11,17,8,2018
1512,3,35.3,79.2,81.9,2,21.0,1020.0,88.0,6.0,6.0,17,30,6,2019
1513,0,43.2,0.0,87.9,1,18.0,1016.0,93.0,3.0,4.0,6,26,7,2018
1514,1,42.2,6.4,88.2,2,30.0,1016.0,58.0,2.0,1.0,10,5,8,2018
1519,2,35.2,16.1,71.9,0,18.0,1013.0,82.0,9.0,6.0,22,20,4,2019
1521,3,36.1,54.3,87.7,2,19.0,1017.0,100.0,1.0,4.0,10,23,7,2019
1522,0,43.0,0.0,69.3,0,11.0,1017.0,76.0,2.0,3.0,0,18,5,2019
1523,3,44.8,41.1,77.2,0,13.0,1018.0,93.0,5.0,5.0,19,24,1,2019
1524,4,44.8,130.7,74.2,2,12.0,1012.0,93.0,4.0,6.0,8,18,4,2019
1525,2,32.1,18.8,86.1,2,11.0,1030.0,54.0,2.0,1.0,14,4,2,2019
1526,3,34.6,91.3,80.2,2,20.0,1015.0,49.0,5.0,6.0,15,19,4,2019
1527,2,43.5,9.1,77.3,0,6.0,1020.0,100.0,1.0,1.0,7,25,1,2019
1528,1,38.2,14.1,88.4,2,28.0,1016.0,35.0,4.0,1.0,17,19,8,2018
1530,3,37.7,112.6,89.4,2,22.0,1022.0,69.0,4.0,1.0,16,23,9,2018
1534,3,40.4,72.0,87.4,2,25.0,1019.0,47.0,5.0,1.0,18,11,9,2018
1536,2,36.3,46.4,82.3,2,26.0,1017.0,53.0,4.0,6.0,17,15,9,2019
1539,2,34.2,47.1,92.5,2,21.0,1012.0,83.0,3.0,4.0,14,3,9,2018
1541,2,31.3,23.4,103.9,2,16.0,1029.0,77.0,1.0,4.0,13,2,3,2019
1542,3,38.0,32.2,79.5,2,12.0,1004.0,76.0,1.0,1.0,15,26,11,2018
1544,0,42.1,0.6,64.5,0,18.0,1004.0,63.0,3.0,1.0,23,17,11,2018
1545,1,34.1,8.6,87.7,0,16.0,1015.0,77.0,3.0,1.0,22,25,8,2018
1547,0,41.1,0.0,84.9,0,12.0,1004.0,93.0,3.0,4.0,22,20,11,2018
1551,2,32.6,36.2,83.6,2,16.0,1021.0,71.0,3.0,3.0,13,11,4,2019
1554,0,41.8,0.0,76.0,0,11.0,1016.0,76.0,5.0,2.0,0,3,4,2019
1556,2,42.4,40.9,88.7,2,28.0,1022.0,48.0,4.0,1.0,14,26,9,2018
1558,0,41.9,1.4,87.0,0,15.0,1011.0,58.0,2.0,1.0,3,9,10,2018
1559,3,32.3,65.7,80.7,2,17.0,1019.0,77.0,2.0,2.0,16,12,4,2019
1560,3,37.9,195.3,92.6,2,22.0,1018.0,88.0,4.0,3.0,15,9,8,2019
1563,2,37.7,35.1,89.8,2,19.0,1016.0,72.0,3.0,1.0,14,29,9,2018
1564,3,42.9,28.2,74.5,2,17.0,1025.0,40.0,3.0,1.0,15,10,12,2018
1565,0,42.7,0.0,83.7,0,9.0,1010.0,93.0,1.0,5.0,0,12,11,2018
1568,0,38.6,0.9,70.0,0,14.0,1020.0,100.0,1.0,4.0,23,22,5,2019
1571,0,40.6,8.0,89.5,0,11.0,1023.0,100.0,4.0,4.0,21,8,2,2019
1575,3,37.5,69.9,84.2,2,22.0,1020.0,68.0,2.0,4.0,15,29,9,2019
1577,0,37.9,1.8,65.3,0,17.0,1019.0,93.0,1.0,3.0,22,2,6,2019
1578,2,48.5,2.7,85.4,0,13.0,1008.0,82.0,2.0,5.0,4,7,11,2018
1579,1,37.9,18.7,89.6,0,17.0,1017.0,88.0,3.0,1.0,20,28,7,2018
1580,1,40.9,16.1,90.3,2,19.0,1022.0,88.0,3.0,5.0,13,20,9,2018
1581,0,42.6,0.0,83.4,0,18.0,1015.0,100.0,1.0,6.0,1,16,7,2019
1582,2,38.2,27.4,86.9,2,25.0,1017.0,83.0,2.0,3.0,14,9,7,2019
1583,0,44.4,2.5,82.6,0,15.0,1022.0,100.0,1.0,6.0,3,2,11,2018
1585,0,41.3,0.0,90.1,2,13.0,1023.0,82.0,3.0,4.0,9,3,3,2019
1586,0,37.7,1.3,64.5,0,15.0,1017.0,93.0,3.0,6.0,23,21,6,2019
1588,2,39.8,29.1,89.6,2,23.0,1015.0,47.0,4.0,1.0,19,14,8,2018
1589,0,37.6,0.0,66.0,0,16.0,1016.0,100.0,1.0,4.0,5,29,6,2019
1590,1,39.8,26.9,90.6,2,23.0,1019.0,69.0,5.0,3.0,13,30,7,2018
1591,2,38.3,22.3,76.7,2,15.0,1020.0,67.0,2.0,1.0,15,26,1,2019
1592,2,44.6,4.1,87.1,0,3.0,1021.0,93.0,5.0,1.0,7,20,2,2019
1593,0,46.2,2.4,67.5,0,18.0,1017.0,100.0,3.0,4.0,23,30,9,2019
1595,2,33.4,20.9,98.4,2,19.0,1029.0,38.0,2.0,1.0,14,25,2,2019
1597,1,45.7,4.9,74.9,0,17.0,1014.0,82.0,2.0,1.0,20,26,8,2018
1602,1,43.5,1.1,86.5,0,15.0,1020.0,55.0,2.0,1.0,0,2,10,2018
1605,4,41.9,75.3,71.5,2,14.0,1013.0,59.0,3.0,2.0,9,1,4,2019
1606,4,47.1,145.2,62.4,2,12.0,1014.0,87.0,1.0,6.0,8,14,6,2019
1607,1,42.2,4.5,71.8,0,8.0,1020.0,93.0,1.0,5.0,20,15,1,2019
1608,2,36.8,52.6,92.0,2,24.0,1015.0,54.0,4.0,1.0,15,1,8,2018
1609,0,38.5,3.1,72.1,2,18.0,1017.0,93.0,2.0,4.0,9,29,6,2019
1610,3,40.0,40.6,87.9,2,18.0,1017.0,88.0,4.0,1.0,17,16,10,2018
1611,0,44.5,0.0,87.0,0,15.0,1014.0,93.0,0.0,1.0,2,27,8,2018
1614,3,31.6,113.6,98.7,2,22.0,1026.0,26.0,6.0,1.0,16,22,2,2019
1616,0,37.4,6.5,93.0,0,9.0,1021.0,76.0,3.0,3.0,0,17,2,2019
1617,0,39.0,4.5,95.1,2,19.0,1016.0,77.0,1.0,4.0,10,7,7,2019
1618,3,40.6,102.5,71.3,2,20.0,1015.0,46.0,3.0,6.0,17,19,4,2019
1619,0,44.5,1.7,84.3,2,21.0,1016.0,69.0,3.0,1.0,6,4,8,2018
1621,1,37.1,9.2,90.7,0,21.0,1019.0,88.0,2.0,4.0,20,30,7,2018
1623,4,44.7,77.1,87.8,1,12.0,1016.0,51.0,4.0,1.0,7,8,10,2018
1626,1,33.4,15.1,95.1,2,15.0,1023.0,77.0,9.0,4.0,12,3,3,2019
1627,0,43.5,3.5,88.8,0,14.0,1011.0,93.0,1.0,4.0,3,18,10,2018
1628,3,43.0,47.1,82.4,1,11.0,1019.0,62.0,3.0,1.0,18,19,2,2019
1629,2,39.8,48.2,82.2,0,17.0,1024.0,48.0,1.0,1.0,17,10,12,2018
1631,2,38.2,18.1,84.7,2,16.0,1023.0,77.0,2.0,1.0,16,13,11,2018
1634,2,35.2,17.1,81.1,2,15.0,1027.0,77.0,5.0,1.0,12,5,12,2018
1635,2,33.8,28.9,103.9,2,13.0,1030.0,54.0,2.0,1.0,15,4,2,2019
1636,0,44.5,0.0,85.0,0,18.0,1014.0,63.0,5.0,1.0,6,13,10,2018
1637,0,42.4,0.0,86.1,0,21.0,1016.0,28.0,3.0,1.0,5,19,8,2018
1638,2,37.1,47.9,86.8,2,22.0,1018.0,69.0,3.0,6.0,11,16,9,2019
1639,3,37.1,70.8,90.7,2,21.0,1019.0,60.0,3.0,4.0,16,29,7,2018
1640,3,38.6,85.2,87.5,2,19.0,1016.0,88.0,2.0,4.0,16,19,9,2019
1641,0,38.4,0.0,74.1,0,9.0,1012.0,81.0,1.0,3.0,2,23,11,2018
1642,2,37.5,30.9,84.3,2,17.0,1019.0,67.0,5.0,1.0,11,14,11,2018
1645,2,40.2,15.0,81.1,2,15.0,1032.0,71.0,2.0,1.0,13,28,2,2019
1647,3,37.4,85.5,89.3,0,20.0,1007.0,42.0,3.0,1.0,18,9,10,2018
1648,1,35.4,3.2,90.1,0,19.0,1016.0,77.0,6.0,1.0,20,16,8,2018
1650,4,40.8,135.6,83.0,2,18.0,1016.0,93.0,1.0,4.0,18,19,9,2019
1651,0,38.0,0.0,85.2,0,16.0,1018.0,100.0,2.0,1.0,22,13,9,2018
1652,0,46.3,0.0,82.7,0,1.0,1031.0,86.0,0.0,1.0,4,4,2,2019
1654,0,40.3,6.8,86.9,0,9.0,1023.0,66.0,6.0,5.0,20,2,2,2019
1655,2,33.5,23.5,84.1,2,13.0,1025.0,58.0,4.0,1.0,14,21,1,2019
1656,0,37.7,3.4,64.2,0,15.0,1017.0,93.0,2.0,6.0,0,20,6,2019
1657,2,41.7,45.1,87.2,2,20.0,1017.0,88.0,2.0,4.0,18,12,8,2018
1661,2,39.4,36.8,90.0,2,20.0,1017.0,64.0,3.0,1.0,14,14,8,2018
1664,0,40.4,0.0,86.3,0,18.0,1015.0,100.0,0.0,6.0,4,15,7,2019
1666,0,42.0,0.0,75.5,1,17.0,1000.0,67.0,5.0,1.0,7,18,11,2018
1667,2,34.7,26.9,92.4,0,9.0,1023.0,70.0,6.0,5.0,19,2,2,2019
1668,3,32.7,49.2,99.7,2,12.0,1025.0,87.0,1.0,5.0,17,6,2,2019
1670,2,45.4,12.5,77.5,0,16.0,1011.0,93.0,5.0,6.0,20,10,11,2018
1672,2,39.2,32.6,92.1,2,21.0,1022.0,42.0,4.0,1.0,17,14,2,2019
1675,3,37.3,145.9,85.9,2,21.0,1015.0,82.0,4.0,4.0,10,4,7,2019
1677,2,41.4,42.1,76.3,2,20.0,1011.0,55.0,3.0,6.0,15,31,3,2019
1679,2,49.7,4.9,76.0,0,9.0,1017.0,100.0,2.0,4.0,7,18,2,2019
1680,1,36.6,14.2,70.8,2,19.0,1020.0,88.0,4.0,3.0,19,30,6,2019
1681,1,35.8,9.4,84.7,2,14.0,1019.0,82.0,3.0,4.0,14,1,11,2018
1682,1,40.9,12.1,90.3,0,21.0,1018.0,77.0,7.0,4.0,20,12,10,2018
1683,2,34.2,23.1,87.8,2,13.0,1003.0,82.0,5.0,3.0,11,31,10,2018
1684,1,40.1,26.0,95.5,0,11.0,1021.0,93.0,2.0,6.0,22,10,4,2019
1685,4,47.0,71.7,68.8,2,9.0,1013.0,93.0,1.0,4.0,8,23,11,2018
1687,1,40.4,5.4,68.1,0,16.0,1014.0,88.0,3.0,6.0,4,26,6,2019
1689,3,39.6,96.4,88.7,2,19.0,1017.0,77.0,3.0,3.0,11,16,8,2018
1692,2,31.5,40.8,98.3,2,17.0,1027.0,77.0,3.0,6.0,16,2,3,2019
1693,3,33.4,53.6,91.6,2,20.0,1017.0,83.0,2.0,6.0,10,9,7,2019
1694,0,42.5,0.0,73.9,0,11.0,1023.0,93.0,2.0,4.0,5,12,12,2018
1695,2,40.4,21.9,89.8,2,16.0,1018.0,87.0,2.0,4.0,10,17,10,2018
1696,0,42.2,3.3,87.7,0,15.0,1017.0,93.0,0.0,1.0,0,1,8,2018
1697,2,38.2,19.6,88.9,2,20.0,1018.0,53.0,1.0,1.0,13,25,10,2018
1698,0,41.3,2.0,75.6,2,7.0,1032.0,100.0,2.0,5.0,8,9,12,2018
1699,1,43.2,5.0,88.2,2,19.0,1019.0,93.0,2.0,4.0,7,31,7,2018
1700,2,33.3,48.2,76.3,2,19.0,1017.0,88.0,3.0,3.0,14,20,6,2019
1701,0,41.9,0.0,86.8,0,17.0,1022.0,88.0,1.0,1.0,21,23,9,2018
1703,3,39.4,91.7,90.0,2,20.0,1016.0,73.0,7.0,5.0,16,7,8,2018
1704,1,42.0,5.5,65.5,0,7.0,1024.0,93.0,3.0,1.0,1,27,11,2018
1705,1,37.8,6.3,90.4,0,10.0,1023.0,76.0,2.0,1.0,20,20,2,2019
1707,0,33.3,1.2,89.0,0,10.0,1028.0,58.0,4.0,1.0,3,25,2,2019
1709,1,42.0,3.7,74.1,0,13.0,1016.0,76.0,10.0,4.0,5,29,11,2018
1710,3,41.4,54.2,88.3,0,12.0,1029.0,66.0,3.0,1.0,18,11,2,2019
1712,0,46.5,2.8,86.5,0,13.0,1014.0,93.0,0.0,1.0,5,26,8,2018
1713,2,34.1,34.8,92.7,1,20.0,1022.0,69.0,4.0,1.0,18,23,9,2018
1714,1,31.3,14.3,90.3,0,12.0,1026.0,93.0,0.0,6.0,20,2,3,2019
1715,1,34.9,12.5,87.0,2,15.0,1015.0,100.0,1.0,3.0,7,7,7,2019
1716,2,40.0,34.1,87.9,2,20.0,1003.0,68.0,5.0,1.0,16,10,10,2018
1717,2,42.4,24.6,78.1,2,13.0,1011.0,76.0,8.0,5.0,12,22,11,2018
1721,2,35.6,26.2,73.6,2,11.0,1024.0,66.0,2.0,3.0,11,11,12,2018
1722,2,43.2,11.6,80.3,2,18.0,1017.0,88.0,2.0,3.0,8,7,8,2018
1723,2,40.9,29.7,90.4,0,18.0,1014.0,77.0,3.0,1.0,20,19,10,2018
1724,2,33.1,34.3,81.9,2,24.0,1016.0,49.0,4.0,2.0,14,20,4,2019
1725,0,46.7,0.0,74.7,0,13.0,1018.0,93.0,0.0,4.0,1,4,11,2018
1726,1,39.4,5.7,89.1,2,30.0,1016.0,58.0,2.0,1.0,13,5,8,2018
1728,3,34.1,102.1,79.1,2,16.0,1013.0,63.0,4.0,6.0,11,13,6,2019
1729,2,42.9,76.2,90.0,2,20.0,1016.0,68.0,3.0,1.0,14,5,10,2018
1730,0,37.9,0.0,61.6,0,15.0,1013.0,100.0,1.0,6.0,4,24,6,2019
1731,1,37.9,8.7,64.9,0,14.0,1015.0,82.0,3.0,3.0,22,4,6,2019
1732,2,33.5,22.5,92.5,2,12.0,1019.0,76.0,5.0,5.0,12,18,2,2019
1734,0,45.3,1.0,81.6,0,11.0,1019.0,93.0,2.0,5.0,3,9,11,2018
1736,1,36.9,9.0,89.1,2,23.0,1016.0,83.0,2.0,4.0,12,14,7,2019
1738,1,37.6,33.3,83.6,2,16.0,1016.0,59.0,2.0,5.0,13,7,11,2018
1739,0,48.8,0.0,79.1,0,16.0,1020.0,93.0,6.0,6.0,22,23,9,2019
1741,0,39.2,1.1,72.1,0,12.0,1011.0,77.0,3.0,1.0,4,17,11,2018
1742,2,43.6,10.6,75.8,0,17.0,1016.0,93.0,1.0,6.0,21,19,9,2019
1745,0,45.8,0.0,84.7,0,16.0,1021.0,100.0,2.0,5.0,1,20,9,2018
1746,2,39.1,27.7,93.1,2,20.0,1017.0,88.0,3.0,3.0,10,26,7,2018
1747,1,40.6,14.9,84.1,0,16.0,1019.0,88.0,4.0,1.0,22,11,8,2018
1748,3,43.2,54.6,81.1,2,18.0,1021.0,36.0,8.0,1.0,9,2,10,2018
1749,2,36.1,29.4,91.5,2,12.0,1023.0,87.0,5.0,6.0,16,8,2,2019
1752,0,45.1,6.2,84.4,0,17.0,1020.0,100.0,2.0,4.0,2,10,8,2019
1754,3,43.3,167.5,85.0,2,21.0,1016.0,77.0,2.0,3.0,18,16,9,2019
1755,2,44.7,36.7,85.7,0,19.0,1017.0,68.0,1.0,1.0,23,20,10,2018
1756,0,38.7,6.1,84.7,0,21.0,1012.0,82.0,1.0,1.0,20,2,9,2018
1758,2,35.7,31.9,99.9,2,13.0,1024.0,71.0,4.0,6.0,12,8,2,2019
1759,2,37.9,34.2,88.8,2,21.0,1014.0,64.0,3.0,5.0,16,6,9,2018
1760,0,39.5,5.5,70.5,0,17.0,1016.0,88.0,1.0,4.0,22,3,6,2019
1761,3,39.0,83.7,73.3,2,17.0,1021.0,77.0,3.0,4.0,10,23,5,2019
1763,2,37.5,22.8,77.4,2,12.0,998.0,76.0,6.0,3.0,10,24,4,2019
1767,2,36.1,87.7,91.3,2,19.0,1014.0,87.0,6.0,3.0,19,15,5,2019
1768,1,36.2,2.5,65.7,0,13.0,1015.0,93.0,1.0,2.0,22,18,4,2019
1769,2,38.7,21.1,80.2,0,10.0,1021.0,87.0,3.0,5.0,19,20,1,2019
1779,4,45.1,54.6,85.3,2,25.0,1022.0,57.0,3.0,1.0,9,24,9,2018
1780,2,38.9,26.5,94.6,2,20.0,1017.0,56.0,2.0,1.0,14,25,10,2018
1781,0,44.2,0.0,85.8,0,11.0,1022.0,100.0,5.0,4.0,4,9,2,2019
1784,1,47.3,12.0,82.6,2,17.0,1018.0,93.0,1.0,4.0,8,17,8,2019
1786,1,36.5,7.0,91.5,0,9.0,1029.0,87.0,0.0,1.0,20,4,2,2019
1787,1,39.7,7.8,88.7,2,21.0,1019.0,56.0,2.0,5.0,10,29,7,2018
1789,0,37.3,0.0,74.5,0,11.0,1013.0,87.0,0.0,2.0,2,31,3,2019
1790,0,41.3,2.4,82.6,0,10.0,1005.0,93.0,0.0,4.0,22,30,10,2018
1791,3,43.6,20.0,62.2,2,9.0,1025.0,81.0,2.0,4.0,7,26,4,2019
1792,0,45.5,1.9,84.0,0,14.0,1013.0,62.0,1.0,1.0,23,8,10,2018
1793,0,46.1,0.0,79.4,0,9.0,1013.0,66.0,1.0,5.0,22,28,10,2018
1798,2,34.3,33.0,78.6,2,23.0,1016.0,64.0,2.0,6.0,14,25,6,2019
1800,1,43.5,6.9,77.1,0,7.0,1025.0,93.0,1.0,1.0,22,26,11,2018
1801,0,42.1,0.0,74.8,2,13.0,1023.0,87.0,6.0,4.0,8,2,12,2018
1803,4,49.2,143.4,63.5,2,12.0,1011.0,72.0,7.0,4.0,8,6,6,2019
1804,2,40.4,27.2,83.2,2,11.0,1001.0,87.0,2.0,3.0,12,30,10,2018
1805,3,39.2,46.4,70.2,2,17.0,1014.0,72.0,4.0,6.0,18,4,6,2019
1806,1,32.1,20.5,91.5,2,17.0,1025.0,48.0,2.0,1.0,14,15,2,2019
1807,2,40.0,28.3,90.1,2,12.0,1012.0,62.0,3.0,1.0,10,29,10,2018
1808,3,37.3,67.3,85.4,2,19.0,1015.0,88.0,1.0,4.0,10,17,7,2019
1810,3,37.5,46.6,77.5,2,15.0,1028.0,58.0,4.0,6.0,17,26,4,2019
1812,4,46.9,109.6,78.9,0,11.0,1020.0,93.0,1.0,1.0,19,25,1,2019
1815,1,35.6,9.1,83.9,2,17.0,1017.0,93.0,4.0,4.0,11,14,4,2019
1816,1,35.7,6.1,86.8,0,10.0,1029.0,81.0,1.0,1.0,20,12,2,2019
1817,1,40.4,4.4,93.3,0,11.0,1020.0,81.0,4.0,1.0,20,18,2,2019
1818,0,37.9,2.3,65.2,0,16.0,1019.0,93.0,1.0,4.0,0,3,6,2019
1825,0,45.1,0.0,82.5,0,11.0,1019.0,100.0,3.0,4.0,4,9,11,2018
1826,2,42.8,34.2,85.7,2,20.0,1019.0,68.0,6.0,5.0,16,28,9,2018
1827,1,40.0,3.5,83.1,0,10.0,1022.0,81.0,4.0,5.0,20,20,1,2019
1828,2,41.9,23.2,75.4,0,17.0,1016.0,93.0,1.0,4.0,20,19,9,2019
1829,1,39.1,14.4,71.2,2,13.0,1024.0,82.0,2.0,3.0,12,30,11,2018
1830,0,42.2,4.0,89.3,2,22.0,1023.0,69.0,3.0,1.0,13,23,9,2018
1833,0,43.8,0.0,86.3,2,14.0,1015.0,100.0,1.0,4.0,7,8,8,2018
1834,1,33.4,5.7,65.6,2,22.0,1017.0,72.0,6.0,6.0,12,27,5,2019
1835,0,47.1,0.0,83.4,0,3.0,1021.0,93.0,4.0,1.0,4,20,2,2019
