,AVERAGE_SPEED_DIFF,AVERAGE_FREE_FLOW_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,LUMINOSITY,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,HOUR,DAY,MONTH,YEAR,IS_STORMY
656,3,38.0,50.1,93.0,0,13.0,1026.0,82.0,1.0,19,2,3,2019,0.0
657,2,42.3,29.4,87.7,2,23.0,1018.0,78.0,2.0,12,30,9,2019,0.0
659,2,35.3,40.2,72.6,2,2.0,1022.0,86.0,4.0,10,18,1,2019,0.0
660,1,41.7,4.4,87.1,0,18.0,1016.0,100.0,0.0,2,15,7,2019,0.0
661,2,38.5,18.6,84.0,2,24.0,1018.0,29.0,5.0,12,7,9,2019,0.0
662,0,36.4,0.0,88.6,0,18.0,1016.0,93.0,2.0,21,26,7,2018,0.0
663,0,43.6,2.5,71.1,0,16.0,1021.0,93.0,1.0,21,26,9,2019,0.0
664,4,47.6,63.9,75.4,2,17.0,1015.0,72.0,3.0,7,2,9,2019,0.0
665,0,39.8,2.5,78.1,0,10.0,1020.0,93.0,4.0,21,28,11,2018,0.0
666,4,43.4,60.5,72.1,2,17.0,1014.0,72.0,8.0,18,12,6,2019,0.0
667,0,41.6,11.0,87.5,0,16.0,1016.0,100.0,1.0,3,5,7,2019,0.0
668,0,39.3,2.6,84.4,0,12.0,1014.0,100.0,0.0,22,26,10,2018,0.0
669,1,34.8,2.7,85.6,2,10.0,1018.0,100.0,0.0,8,6,10,2018,0.0
670,2,38.1,64.8,89.4,2,16.0,1014.0,67.0,5.0,15,14,10,2018,0.0
671,0,39.9,5.8,80.2,0,10.0,1020.0,100.0,2.0,0,30,11,2018,0.0
672,0,37.3,7.4,65.5,0,14.0,1016.0,100.0,0.0,2,22,6,2019,0.0
673,1,38.5,11.9,90.5,2,10.0,1011.0,61.0,5.0,10,28,10,2018,0.0
674,0,43.9,2.8,77.3,0,10.0,1012.0,61.0,6.0,20,28,10,2018,0.0
675,3,41.0,35.5,72.0,2,13.0,1020.0,82.0,4.0,10,26,11,2018,0.0
676,3,34.2,63.4,88.3,2,25.0,1014.0,69.0,5.0,9,12,7,2019,0.0
677,1,41.9,3.1,73.2,0,8.0,1029.0,87.0,2.0,2,27,4,2019,0.0
678,4,41.9,104.2,75.1,2,16.0,1012.0,77.0,3.0,17,18,4,2019,0.0
679,2,34.2,30.5,81.2,2,18.0,1019.0,87.0,2.0,12,30,4,2019,0.0
680,0,36.4,0.8,77.0,0,17.0,1013.0,56.0,3.0,0,21,4,2019,0.0
681,2,42.9,24.2,88.3,2,20.0,1014.0,77.0,2.0,18,5,9,2018,0.0
682,2,32.8,34.2,102.3,2,22.0,1022.0,40.0,3.0,16,26,2,2019,0.0
683,0,36.7,3.4,91.7,2,18.0,1014.0,100.0,3.0,7,13,7,2019,0.0
684,2,33.6,18.0,79.8,2,20.0,1019.0,82.0,6.0,11,30,6,2019,0.0
685,3,37.5,48.4,93.3,2,13.0,1021.0,76.0,2.0,17,4,3,2019,0.0
686,3,33.6,72.7,76.1,2,14.0,1018.0,67.0,6.0,11,17,5,2019,0.0
687,0,41.4,0.0,89.8,0,11.0,1028.0,100.0,2.0,6,2,3,2019,0.0
688,0,37.0,0.0,92.0,0,17.0,1013.0,100.0,2.0,4,8,7,2019,0.0
689,2,38.1,49.8,89.9,2,19.0,1019.0,82.0,3.0,14,23,8,2018,0.0
690,1,33.4,11.2,65.4,0,12.0,1017.0,81.0,2.0,22,18,5,2019,0.0
691,2,36.6,21.8,68.8,2,17.0,1021.0,63.0,2.0,13,4,12,2018,0.0
692,1,42.3,17.2,85.3,2,18.0,1019.0,88.0,3.0,13,15,9,2018,0.0
693,3,38.6,37.9,93.2,2,13.0,1029.0,66.0,3.0,17,11,2,2019,0.0
694,1,37.9,13.6,65.0,0,13.0,1017.0,87.0,2.0,4,11,6,2019,0.0
695,0,42.6,0.0,91.4,0,16.0,1015.0,100.0,1.0,2,8,8,2018,0.0
696,0,43.8,0.0,82.1,0,15.0,1017.0,93.0,0.0,0,28,7,2018,0.0
697,0,44.0,1.9,80.9,0,17.0,1012.0,100.0,0.0,1,4,9,2018,0.0
698,2,35.7,30.8,80.2,2,16.0,1015.0,93.0,7.0,18,7,5,2019,0.0
699,3,42.3,55.3,73.0,2,22.0,1014.0,82.0,5.0,16,15,5,2019,0.0
700,2,45.7,8.1,77.8,0,10.0,1005.0,100.0,0.0,21,30,10,2018,0.0
701,2,41.2,22.6,82.8,2,27.0,1016.0,40.0,3.0,13,2,9,2019,0.0
702,2,34.4,21.5,91.6,2,21.0,1014.0,53.0,5.0,10,7,9,2018,0.0
703,3,34.1,65.3,90.9,2,25.0,1020.0,78.0,6.0,14,16,8,2019,0.0
704,0,39.2,0.0,90.2,0,9.0,1027.0,93.0,1.0,22,10,2,2019,0.0
705,0,41.1,2.8,81.1,0,16.0,1022.0,93.0,7.0,23,27,9,2019,0.0
706,3,37.8,44.5,80.7,2,16.0,1030.0,87.0,3.0,15,6,12,2018,0.0
707,1,39.5,9.3,79.6,2,11.0,1021.0,76.0,4.0,11,20,1,2019,0.0
708,0,45.1,10.9,82.6,0,17.0,1014.0,68.0,2.0,5,2,9,2019,0.0
710,1,36.2,11.9,84.6,2,20.0,1018.0,77.0,4.0,19,21,6,2019,0.0
711,1,41.7,4.1,75.9,2,8.0,1032.0,93.0,1.0,9,9,12,2018,0.0
712,1,37.0,12.4,90.6,2,15.0,1018.0,82.0,1.0,8,17,8,2018,0.0
713,3,38.9,52.1,78.4,2,23.0,1011.0,56.0,6.0,16,3,5,2019,0.0
714,0,45.5,4.4,80.2,0,17.0,1016.0,82.0,3.0,22,16,8,2018,0.0
715,2,37.3,14.6,82.8,2,15.0,1009.0,93.0,2.0,18,21,9,2019,0.0
716,0,41.8,0.0,74.8,0,14.0,1011.0,76.0,1.0,0,1,4,2019,0.0
717,0,42.4,4.2,84.2,0,17.0,1023.0,68.0,3.0,4,13,9,2019,0.0
718,2,35.7,20.1,87.8,0,19.0,1017.0,77.0,2.0,21,5,7,2019,0.0
719,1,38.3,6.5,64.9,2,15.0,1016.0,100.0,3.0,6,30,6,2019,0.0
720,0,35.7,0.5,65.6,0,12.0,1017.0,76.0,3.0,23,17,5,2019,0.0
721,0,41.4,1.7,87.3,0,15.0,1020.0,51.0,0.0,23,3,10,2018,0.0
722,1,41.3,7.4,83.2,2,29.0,1017.0,32.0,5.0,13,18,8,2018,0.0
723,1,34.3,4.0,73.9,0,14.0,1019.0,100.0,5.0,20,13,4,2019,0.0
724,2,38.2,32.9,88.9,0,20.0,1016.0,68.0,2.0,19,20,10,2018,0.0
725,1,46.7,1.3,60.8,0,15.0,1016.0,87.0,3.0,0,28,5,2019,0.0
726,0,41.4,0.0,89.8,0,10.0,1027.0,100.0,2.0,7,2,3,2019,0.0
727,3,35.8,94.0,76.1,2,19.0,1022.0,68.0,5.0,16,15,6,2019,0.0
728,0,40.7,1.8,77.4,0,16.0,1025.0,82.0,1.0,21,23,10,2018,0.0
729,0,41.5,0.0,76.3,2,14.0,1014.0,76.0,2.0,7,21,4,2019,0.0
730,0,42.0,1.9,87.4,0,19.0,1015.0,93.0,4.0,1,22,8,2018,0.0
731,0,36.9,0.9,68.2,0,8.0,1032.0,100.0,0.0,3,9,12,2018,0.0
733,0,44.4,0.0,79.5,0,8.0,1013.0,75.0,2.0,23,28,10,2018,0.0
734,3,34.1,47.7,84.7,2,32.0,1021.0,27.0,3.0,14,13,9,2019,0.0
735,2,38.1,24.2,89.4,2,19.0,1016.0,77.0,3.0,16,29,9,2018,0.0
736,2,39.1,14.1,73.7,0,19.0,1014.0,88.0,0.0,20,25,8,2019,0.0
737,1,41.3,11.6,74.2,0,19.0,1015.0,100.0,1.0,22,26,8,2019,0.0
738,1,37.7,5.5,70.5,0,24.0,1016.0,46.0,6.0,20,13,5,2019,0.0
739,2,37.8,33.1,91.3,2,13.0,1028.0,67.0,2.0,16,5,2,2019,0.0
740,2,38.8,33.5,73.5,2,21.0,1017.0,73.0,2.0,14,26,6,2019,0.0
741,3,43.4,99.9,71.5,2,21.0,1020.0,53.0,4.0,9,5,9,2019,0.0
742,2,41.6,37.1,88.8,2,19.0,1019.0,42.0,4.0,14,7,10,2018,0.0
743,0,37.7,1.5,84.2,2,17.0,1029.0,48.0,2.0,10,24,2,2019,0.0
744,0,35.1,4.9,75.7,2,15.0,1024.0,87.0,5.0,14,1,12,2018,0.0
745,3,39.6,44.8,87.8,2,20.0,1012.0,68.0,6.0,16,11,10,2018,0.0
746,0,42.9,2.2,86.5,0,14.0,1020.0,59.0,2.0,1,2,10,2018,0.0
747,1,44.0,1.3,85.5,0,19.0,1016.0,50.0,7.0,4,18,8,2018,0.0
749,2,40.2,16.8,83.4,0,17.0,1021.0,93.0,2.0,22,10,8,2019,0.0
750,4,45.3,81.6,75.7,0,14.0,1031.0,100.0,1.0,20,7,12,2018,0.0
751,0,39.0,2.4,87.6,2,12.0,1009.0,67.0,5.0,10,25,4,2019,0.0
752,3,36.9,55.0,90.5,2,21.0,1021.0,56.0,5.0,15,10,8,2018,0.0
753,2,33.1,39.1,87.4,2,15.0,1030.0,82.0,3.0,15,28,2,2019,0.0
754,3,39.8,43.8,75.7,2,21.0,1016.0,72.0,5.0,14,21,5,2019,0.0
755,2,39.0,47.5,76.9,2,16.0,1016.0,63.0,3.0,11,16,11,2018,0.0
756,3,45.5,52.9,81.3,0,14.0,1023.0,72.0,4.0,18,13,11,2018,0.0
757,1,44.0,3.5,83.5,0,13.0,1017.0,100.0,4.0,6,9,9,2019,0.0
758,2,33.5,50.0,77.7,2,19.0,1016.0,72.0,6.0,19,21,5,2019,0.0
759,1,39.3,4.3,70.9,2,7.0,1024.0,87.0,4.0,8,1,12,2018,0.0
760,1,33.8,12.9,81.3,0,15.0,1015.0,100.0,1.0,5,7,7,2019,0.0
761,0,39.6,3.5,69.8,0,12.0,1015.0,100.0,1.0,0,9,5,2019,0.0
762,3,36.0,57.5,88.4,2,28.0,1024.0,36.0,5.0,16,12,9,2019,0.0
763,0,40.9,0.0,86.5,0,12.0,1022.0,76.0,3.0,23,27,11,2018,0.0
764,3,32.2,75.9,75.0,2,15.0,1012.0,82.0,4.0,10,18,4,2019,0.0
765,1,44.8,4.0,84.7,0,16.0,1021.0,93.0,1.0,21,25,9,2019,0.0
766,2,34.4,48.9,95.0,1,12.0,1020.0,76.0,1.0,18,4,3,2019,0.0
767,1,36.5,11.0,80.1,0,20.0,1013.0,77.0,1.0,20,20,4,2019,0.0
768,2,39.0,25.2,85.4,2,11.0,1029.0,62.0,3.0,16,3,2,2019,0.0
769,0,42.2,2.0,89.8,0,18.0,1017.0,31.0,4.0,3,19,8,2018,0.0
770,2,44.7,5.1,82.6,0,18.0,1013.0,88.0,2.0,22,3,9,2018,0.0
771,0,44.4,0.0,82.6,0,8.0,1012.0,100.0,1.0,5,12,11,2018,0.0
772,1,46.5,4.6,79.0,0,18.0,1020.0,82.0,1.0,23,11,9,2018,0.0
773,2,36.2,25.6,83.8,2,20.0,1019.0,83.0,1.0,10,21,7,2019,0.0
776,4,39.1,158.9,90.4,2,16.0,1014.0,93.0,1.0,9,20,9,2019,0.0
777,1,45.1,9.4,84.9,0,15.0,1023.0,100.0,6.0,0,12,8,2019,0.0
778,2,34.6,80.3,77.7,2,19.0,1018.0,72.0,5.0,10,27,5,2019,0.0
779,1,32.6,10.3,77.4,2,13.0,1024.0,93.0,6.0,10,2,12,2018,0.0
780,0,40.0,0.0,88.8,0,14.0,1017.0,100.0,1.0,4,29,9,2018,0.0
781,1,43.0,4.1,82.7,0,9.0,1026.0,66.0,4.0,6,22,2,2019,0.0
782,0,32.4,8.1,88.8,0,7.0,1031.0,100.0,1.0,3,28,2,2019,0.0
783,3,44.7,30.9,82.1,2,16.0,1019.0,100.0,1.0,8,30,8,2019,0.0
784,0,39.4,5.7,90.0,2,29.0,1017.0,55.0,1.0,9,4,8,2018,0.0
785,0,43.0,0.0,82.0,0,13.0,1017.0,100.0,3.0,4,9,9,2019,0.0
786,0,43.0,0.0,88.8,0,16.0,1018.0,100.0,1.0,6,15,9,2018,0.0
787,0,38.2,0.7,71.6,2,16.0,1016.0,100.0,2.0,7,29,6,2019,0.0
788,0,36.3,1.6,69.9,0,11.0,1017.0,71.0,5.0,3,12,6,2019,0.0
789,4,41.4,83.3,71.4,2,15.0,1017.0,67.0,7.0,18,17,5,2019,0.0
790,0,39.7,0.0,88.0,0,16.0,1012.0,100.0,1.0,4,4,7,2019,0.0
791,1,32.5,19.1,96.6,2,21.0,1018.0,93.0,3.0,12,5,7,2019,0.0
792,0,37.5,5.7,89.6,2,18.0,1016.0,93.0,1.0,9,7,7,2019,0.0
793,0,38.8,0.0,87.3,0,2.0,1031.0,88.0,0.0,0,4,2,2019,0.0
794,0,39.6,3.4,87.2,0,18.0,1014.0,100.0,2.0,1,8,7,2019,0.0
795,2,35.7,66.8,76.3,2,17.0,1022.0,72.0,5.0,18,15,6,2019,0.0
796,1,36.4,11.2,92.0,2,9.0,1023.0,58.0,5.0,10,16,2,2019,0.0
797,3,35.5,64.0,89.4,2,27.0,1015.0,39.0,3.0,11,10,7,2019,0.0
798,0,36.8,1.5,70.0,1,16.0,1017.0,72.0,8.0,20,11,6,2019,0.0
799,0,45.6,5.0,87.5,0,18.0,1013.0,83.0,0.0,1,2,8,2018,0.0
800,0,35.0,6.7,73.6,0,14.0,1019.0,82.0,4.0,0,7,5,2019,0.0
801,2,37.4,37.9,89.3,2,20.0,1004.0,72.0,8.0,14,10,10,2018,0.0
802,0,48.0,0.0,86.5,0,17.0,1020.0,88.0,0.0,0,22,10,2018,0.0
803,0,42.5,0.8,62.2,2,16.0,1021.0,63.0,3.0,8,25,5,2019,0.0
804,1,45.9,8.1,76.1,0,20.0,1014.0,73.0,0.0,23,20,8,2018,0.0
805,0,43.4,1.7,85.4,0,17.0,1018.0,100.0,1.0,3,17,8,2019,0.0
806,4,42.4,104.3,86.6,2,25.0,1016.0,48.0,5.0,17,17,8,2018,0.0
807,1,45.6,12.3,76.4,0,17.0,1017.0,93.0,1.0,3,22,8,2019,0.0
808,4,40.7,78.9,84.9,2,22.0,1015.0,77.0,2.0,16,8,7,2019,0.0
809,1,39.9,15.0,75.2,2,17.0,1015.0,72.0,5.0,13,4,6,2019,0.0
811,3,41.2,32.3,83.8,2,14.0,1013.0,76.0,5.0,14,23,11,2018,0.0
812,2,33.2,23.1,78.2,2,23.0,1022.0,33.0,4.0,11,29,5,2019,0.0
813,4,46.6,102.6,78.0,2,11.0,986.0,96.0,1.0,9,19,11,2018,0.0
814,0,40.0,0.8,80.7,0,16.0,1017.0,100.0,1.0,5,26,7,2019,0.0
816,3,40.8,58.9,82.2,2,19.0,1017.0,72.0,8.0,9,12,10,2018,0.0
817,1,40.1,2.3,68.4,0,14.0,1013.0,67.0,3.0,0,18,6,2019,0.0
818,3,41.3,34.0,93.6,0,11.0,1025.0,100.0,0.0,19,6,2,2019,0.0
819,0,43.5,5.2,86.5,0,20.0,1015.0,60.0,6.0,3,13,10,2018,0.0
820,4,48.2,88.9,64.3,2,14.0,1014.0,100.0,3.0,7,10,5,2019,0.0
821,1,38.3,5.1,85.6,2,15.0,1014.0,44.0,9.0,13,27,10,2018,0.0
822,4,37.6,127.4,77.5,2,16.0,1012.0,77.0,4.0,15,18,4,2019,0.0
823,0,50.6,1.4,63.6,0,15.0,1018.0,100.0,3.0,1,19,9,2019,0.0
824,1,42.1,4.8,83.9,0,19.0,1012.0,68.0,1.0,2,8,9,2018,0.0
825,0,37.8,0.0,63.0,0,23.0,1020.0,49.0,2.0,22,30,5,2019,0.0
826,2,38.3,10.6,67.9,2,21.0,1018.0,82.0,3.0,19,2,6,2019,0.0
829,1,44.5,1.4,85.0,0,14.0,1018.0,100.0,3.0,6,17,10,2018,0.0
830,3,39.7,35.7,78.4,2,25.0,1014.0,65.0,2.0,16,26,8,2019,0.0
831,3,41.3,29.0,91.2,0,10.0,1029.0,87.0,0.0,19,4,2,2019,0.0
832,1,38.0,8.5,64.5,0,15.0,1013.0,100.0,5.0,1,10,5,2019,0.0
833,0,43.3,0.0,85.7,0,18.0,1022.0,100.0,3.0,3,28,9,2018,0.0
836,0,43.9,0.7,68.6,0,10.0,1016.0,93.0,1.0,4,2,4,2019,0.0
837,1,35.8,11.2,87.9,0,7.0,1012.0,100.0,1.0,0,1,11,2018,0.0
838,0,42.5,0.0,87.1,0,16.0,1015.0,93.0,0.0,3,27,7,2018,0.0
839,0,46.8,0.0,72.3,0,12.0,1008.0,71.0,3.0,2,17,4,2019,0.0
840,0,41.8,0.0,77.3,2,14.0,1010.0,76.0,4.0,8,17,11,2018,0.0
841,0,36.8,18.0,94.2,0,19.0,1015.0,88.0,3.0,1,13,7,2019,0.0
842,0,37.8,1.3,78.6,0,17.0,1015.0,100.0,5.0,4,23,7,2019,0.0
843,2,32.1,14.4,96.1,2,15.0,1031.0,76.0,2.0,14,28,2,2019,0.0
844,2,44.7,24.9,80.3,2,22.0,1022.0,78.0,4.0,13,14,8,2019,0.0
845,0,46.4,0.0,87.1,0,16.0,1017.0,100.0,0.0,4,16,9,2019,0.0
846,0,42.1,0.0,75.0,0,13.0,1017.0,71.0,10.0,4,29,11,2018,0.0
847,2,43.4,7.7,63.2,2,10.0,1017.0,100.0,2.0,6,17,6,2019,0.0
849,3,39.0,57.7,81.4,2,16.0,1013.0,52.0,3.0,10,1,4,2019,0.0
850,2,40.8,11.8,83.4,0,16.0,1020.0,100.0,2.0,21,15,9,2018,0.0
851,2,45.8,3.5,58.8,2,18.0,1018.0,41.0,5.0,6,31,5,2019,0.0
852,1,41.4,11.6,89.1,1,18.0,1013.0,94.0,4.0,6,18,8,2019,0.0
853,4,46.7,94.6,66.3,2,15.0,1015.0,77.0,5.0,9,15,11,2018,0.0
854,2,38.7,15.9,77.9,2,24.0,1015.0,82.0,2.0,13,24,7,2019,0.0
855,1,35.7,11.9,62.9,0,16.0,1018.0,93.0,2.0,3,2,6,2019,0.0
856,1,34.8,4.5,82.0,0,14.0,1020.0,100.0,4.0,21,13,4,2019,0.0
857,2,40.0,36.7,90.1,2,23.0,1021.0,57.0,6.0,15,10,9,2018,0.0
858,1,38.2,5.9,65.4,0,10.0,1012.0,93.0,2.0,4,13,6,2019,0.0
859,3,42.5,65.0,88.0,2,22.0,1021.0,78.0,6.0,15,14,8,2019,0.0
860,2,39.6,48.8,75.4,2,18.0,1021.0,63.0,5.0,14,8,6,2019,0.0
861,2,37.6,54.5,84.4,2,21.0,1015.0,53.0,4.0,16,26,8,2018,0.0
862,1,40.4,8.1,84.6,0,19.0,1016.0,64.0,3.0,23,17,8,2018,0.0
863,2,35.8,14.8,91.3,2,28.0,1015.0,69.0,4.0,13,10,7,2019,0.0
864,2,43.6,39.2,86.8,0,18.0,1016.0,60.0,4.0,23,19,10,2018,0.0
865,1,36.5,10.9,103.6,0,9.0,1029.0,76.0,3.0,7,23,2,2019,0.0
866,2,37.3,40.5,89.2,2,16.0,1025.0,93.0,4.0,12,2,11,2018,0.0
867,0,35.9,1.3,72.3,0,12.0,1005.0,87.0,1.0,2,21,11,2018,0.0
868,3,34.8,33.5,81.2,2,29.0,1019.0,37.0,5.0,14,5,9,2019,0.0
869,3,39.8,60.6,71.0,2,25.0,1019.0,60.0,4.0,15,26,5,2019,0.0
870,1,49.2,14.4,79.6,0,12.0,1022.0,100.0,1.0,5,12,8,2019,0.0
871,0,43.6,0.0,82.7,0,11.0,1011.0,87.0,1.0,23,5,11,2018,0.0
872,0,36.8,7.9,84.8,2,15.0,1015.0,93.0,2.0,8,22,6,2019,0.0
873,3,35.9,124.5,75.5,2,21.0,1018.0,68.0,7.0,16,16,6,2019,0.0
874,0,41.7,2.0,87.8,0,18.0,1013.0,83.0,0.0,3,2,8,2018,0.0
875,1,41.3,10.1,77.3,0,17.0,1018.0,88.0,1.0,20,13,9,2018,0.0
876,2,52.0,8.6,64.9,0,13.0,1017.0,93.0,8.0,7,24,1,2019,0.0
877,3,42.7,37.4,83.8,0,11.0,1017.0,87.0,3.0,19,7,11,2018,0.0
878,4,46.1,51.5,78.8,0,15.0,1007.0,82.0,13.0,18,6,11,2018,0.0
880,0,36.8,7.5,92.7,0,17.0,1012.0,100.0,6.0,3,3,7,2019,0.0
881,4,51.2,71.4,66.9,1,3.0,1024.0,93.0,1.0,8,21,1,2019,0.0
882,3,37.6,39.6,81.3,2,25.0,1017.0,48.0,4.0,10,22,8,2019,0.0
883,0,42.8,0.0,86.2,0,17.0,1011.0,93.0,2.0,2,28,8,2018,0.0
885,2,45.6,6.9,71.9,0,11.0,1020.0,100.0,0.0,5,15,6,2019,0.0
886,1,33.6,9.4,82.8,0,18.0,1016.0,93.0,2.0,0,15,7,2019,0.0
887,3,39.0,76.0,73.0,2,18.0,1020.0,77.0,8.0,18,23,5,2019,0.0
888,3,37.8,98.3,91.3,2,25.0,1020.0,69.0,5.0,16,15,8,2019,0.0
889,3,39.1,39.1,77.2,2,23.0,1011.0,49.0,5.0,14,3,5,2019,0.0
890,1,36.5,8.5,87.7,0,10.0,1023.0,58.0,3.0,23,14,2,2019,0.0
892,0,37.8,1.1,64.3,0,15.0,1019.0,34.0,5.0,5,13,5,2019,0.0
893,2,40.0,31.6,83.8,2,26.0,1022.0,61.0,3.0,14,10,9,2018,0.0
894,1,36.3,11.6,84.3,2,24.0,1021.0,27.0,8.0,11,12,5,2019,0.0
895,2,37.6,11.3,84.4,2,18.0,1017.0,82.0,2.0,12,16,10,2018,0.0
896,1,35.0,6.9,80.9,2,24.0,1017.0,88.0,3.0,12,9,7,2019,0.0
897,0,36.9,0.0,90.5,0,16.0,1016.0,93.0,3.0,1,8,8,2018,0.0
898,3,44.4,42.2,86.6,2,23.0,1018.0,83.0,1.0,12,27,8,2019,0.0
899,3,36.6,52.9,74.0,2,15.0,1016.0,67.0,5.0,16,18,5,2019,0.0
900,2,42.5,17.9,81.9,0,16.0,1019.0,87.0,3.0,20,28,9,2019,0.0
901,2,34.6,28.6,74.4,2,14.0,1018.0,87.0,6.0,11,24,1,2019,0.0
902,2,42.6,9.3,70.0,0,9.0,1014.0,93.0,1.0,3,20,5,2019,0.0
903,1,38.4,6.6,89.5,2,22.0,1011.0,64.0,4.0,19,27,8,2018,0.0
904,0,46.5,0.0,85.8,0,11.0,1002.0,93.0,2.0,1,5,11,2018,0.0
906,1,42.8,12.8,81.6,0,17.0,1014.0,93.0,1.0,20,5,9,2018,0.0
907,2,41.1,22.7,88.1,2,19.0,1022.0,88.0,1.0,10,10,8,2019,0.0
908,4,48.0,41.5,67.2,2,7.0,1014.0,81.0,2.0,7,3,4,2019,0.0
909,3,42.1,31.2,90.3,1,12.0,1007.0,71.0,3.0,17,29,10,2018,0.0
910,3,36.8,45.1,91.5,2,20.0,1017.0,68.0,5.0,12,7,8,2018,0.0
911,2,38.0,16.1,70.0,2,12.0,1025.0,66.0,2.0,13,21,1,2019,0.0
913,0,41.4,0.0,89.1,0,14.0,1024.0,71.0,2.0,0,27,2,2019,0.0
914,3,41.5,39.9,73.2,2,24.0,1018.0,64.0,5.0,16,1,7,2019,0.0
915,0,47.9,0.0,85.8,0,15.0,1022.0,100.0,1.0,1,10,9,2018,0.0
916,2,36.9,37.5,90.7,2,22.0,1016.0,68.0,5.0,15,26,7,2018,0.0
917,3,45.5,38.0,80.6,0,19.0,1016.0,88.0,2.0,22,8,7,2019,0.0
919,4,41.1,66.0,72.3,2,21.0,1018.0,68.0,2.0,17,27,6,2019,0.0
920,1,34.3,10.5,80.1,0,21.0,1018.0,60.0,2.0,21,1,6,2019,0.0
921,1,43.8,12.6,80.9,2,27.0,1013.0,45.0,4.0,14,2,9,2018,0.0
922,3,33.4,148.9,82.1,2,14.0,1032.0,76.0,3.0,16,8,12,2018,0.0
924,0,39.3,0.0,88.7,0,16.0,1014.0,100.0,3.0,4,19,7,2019,0.0
925,0,39.2,1.1,68.1,0,15.0,1014.0,77.0,3.0,21,4,6,2019,0.0
926,0,37.0,0.0,95.4,0,10.0,1026.0,100.0,0.0,22,2,3,2019,0.0
927,0,40.1,0.0,84.7,0,17.0,1016.0,93.0,4.0,0,8,8,2018,0.0
928,2,42.1,20.5,85.7,2,16.0,1020.0,93.0,1.0,8,21,7,2019,0.0
929,1,46.2,13.8,80.5,0,15.0,1017.0,100.0,1.0,3,19,9,2019,0.0
930,0,42.1,0.0,74.9,0,10.0,1025.0,81.0,2.0,22,27,1,2019,0.0
931,0,41.6,0.0,75.8,0,12.0,1014.0,93.0,1.0,1,19,4,2019,0.0
932,1,41.6,7.7,88.8,2,26.0,1016.0,29.0,4.0,8,20,8,2018,0.0
933,0,39.3,0.0,70.4,0,11.0,1019.0,87.0,6.0,23,28,11,2018,0.0
934,4,39.6,91.7,68.1,2,19.0,1015.0,88.0,1.0,10,15,5,2019,0.0
935,1,41.3,7.5,81.9,0,15.0,1023.0,100.0,0.0,23,22,9,2018,0.0
936,2,42.3,19.8,82.7,2,18.0,1024.0,42.0,8.0,10,23,10,2018,0.0
937,0,38.8,0.0,82.4,0,15.0,1021.0,100.0,0.0,3,22,9,2018,0.0
938,0,40.8,7.7,84.9,2,23.0,1017.0,43.0,6.0,9,18,8,2018,0.0
939,0,42.1,4.5,88.7,0,18.0,1024.0,93.0,1.0,0,28,9,2018,0.0
940,2,45.5,12.3,73.7,0,18.0,1017.0,100.0,0.0,21,27,8,2019,0.0
941,1,39.1,2.7,72.7,1,12.0,1018.0,100.0,2.0,6,29,4,2019,0.0
942,0,39.7,0.0,67.9,0,16.0,1016.0,100.0,2.0,2,2,7,2019,0.0
943,2,34.0,31.2,85.2,0,19.0,1021.0,88.0,4.0,20,21,9,2018,0.0
944,2,34.8,16.8,71.2,2,24.0,1019.0,56.0,7.0,17,25,5,2019,0.0
947,0,44.7,0.0,85.7,0,16.0,1013.0,93.0,2.0,5,7,9,2018,0.0
948,0,43.9,0.0,85.1,0,15.0,1014.0,87.0,4.0,1,19,10,2018,0.0
949,2,47.6,13.4,77.1,2,27.0,1019.0,51.0,2.0,12,15,9,2019,0.0
950,0,39.1,0.0,48.1,0,16.0,1013.0,93.0,0.0,3,24,6,2019,0.0
951,0,43.8,0.0,86.3,0,17.0,1013.0,93.0,0.0,5,2,8,2018,0.0
952,1,43.0,16.2,87.9,2,19.0,1018.0,63.0,5.0,12,14,11,2018,0.0
954,4,39.0,97.1,83.9,2,19.0,1018.0,77.0,6.0,18,9,9,2019,0.0
955,1,38.0,14.4,86.9,2,24.0,1018.0,78.0,3.0,11,20,7,2019,0.0
956,3,43.7,79.4,75.5,2,26.0,1018.0,57.0,6.0,17,20,8,2019,0.0
957,0,38.4,2.4,86.8,0,13.0,1026.0,100.0,1.0,2,3,11,2018,0.0
958,0,43.5,0.0,86.5,0,12.0,1014.0,76.0,7.0,3,27,10,2018,0.0
959,3,39.1,40.8,76.6,2,19.0,1018.0,82.0,7.0,17,29,4,2019,0.0
960,1,42.8,3.8,70.5,0,17.0,1016.0,93.0,3.0,21,24,6,2019,0.0
961,1,48.4,10.3,74.8,0,15.0,1016.0,100.0,2.0,3,25,8,2019,0.0
962,1,41.6,5.3,74.7,0,14.0,1020.0,82.0,3.0,23,6,5,2019,0.0
963,1,39.8,4.9,85.8,2,15.0,1019.0,100.0,8.0,7,21,7,2019,0.0
965,1,47.8,1.3,67.8,0,13.0,1017.0,100.0,2.0,4,27,5,2019,0.0
966,0,40.5,0.0,88.3,0,14.0,1018.0,100.0,0.0,23,16,9,2018,0.0
