AVERAGE_SPEED_DIFF,AVERAGE_FREE_FLOW_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,LUMINOSITY,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,AVERAGE_CLOUDINESS,HOUR,DAY,MONTH,YEAR,AVERAGE_RAIN,IS_STORMY
2,36.5,56.5,83.8,2,15,1023,82,3,6,9,11,5,2019,250,0
2,32,23.9,90.1,2,6,1031,65,4,1,11,4,2,2019,250,0
3,45.2,52.6,68.2,2,14,1008,87,3,4,18,6,6,2019,700,0
0,42.4,0,86.6,0,16,1020,87,1,1,4,11,9,2018,250,0
2,34.7,21.7,93.1,2,14,1022,58,3,1,16,20,2,2019,700,0
3,37.6,47.4,78.8,2,17,1017,72,6,2,15,2,4,2019,900,0
3,44.5,90.2,79.1,0,13,1023,87,0,4,18,11,12,2018,250,0
3,41.8,68.3,88.1,2,20,1018,77,7,1,17,13,8,2018,250,0
2,37.4,36,92.1,2,21,1022,56,4,1,11,22,10,2018,700,0
1,44,13,87.4,2,20,1021,31,4,1,12,1,10,2018,250,0
2,39,43.2,87.4,2,15,1013,58,8,5,14,27,10,2018,250,0
0,43,0,71.3,0,10,1014,82,2,3,4,7,6,2019,700,0
2,46.5,20.7,76.5,2,18,1014,100,4,4,7,9,8,2019,250,0
2,35.7,18.7,88.3,2,19,1017,100,0,4,11,23,7,2019,250,0
1,42.1,4.7,86.6,0,11,1027,81,4,1,3,22,2,2019,250,0
2,39.4,21,67.6,2,17,1014,77,7,4,13,16,5,2019,250,0
3,34.1,41.6,75.1,2,20,1018,82,3,4,11,3,6,2019,250,0
0,36.9,0,77.1,0,11,1020,87,5,3,22,26,1,2019,250,0
2,35,23.2,99.9,2,23,1015,73,3,6,11,6,7,2019,250,0
3,40.4,44,87.4,2,20,1019,64,6,1,15,28,9,2018,250,0
3,37.1,123.5,89.6,2,23,1018,54,4,1,11,17,8,2018,700,0
3,35.3,79.2,81.9,2,21,1020,88,6,6,17,30,6,2019,250,0
0,43.2,0,87.9,1,18,1016,93,3,4,6,26,7,2018,250,0
1,42.2,6.4,88.2,2,30,1016,58,2,1,10,5,8,2018,250,0
2,35.2,16.1,71.9,0,18,1013,82,9,6,22,20,4,2019,700,0
3,36.1,54.3,87.7,2,19,1017,100,1,4,10,23,7,2019,250,0
0,43,0,69.3,0,11,1017,76,2,3,0,18,5,2019,300,0
3,44.8,41.1,77.2,0,13,1018,93,5,5,19,24,1,2019,700,0
4,44.8,130.7,74.2,2,12,1012,93,4,6,8,18,4,2019,250,0
2,32.1,18.8,86.1,2,11,1030,54,2,1,14,4,2,2019,250,0
3,34.6,91.3,80.2,2,20,1015,49,5,6,15,19,4,2019,700,0
2,43.5,9.1,77.3,0,6,1020,100,1,1,7,25,1,2019,250,0
1,38.2,14.1,88.4,2,28,1016,35,4,1,17,19,8,2018,250,0
3,37.7,112.6,89.4,2,22,1022,69,4,1,16,23,9,2018,700,0
3,40.4,72,87.4,2,25,1019,47,5,1,18,11,9,2018,250,0
2,36.3,46.4,82.3,2,26,1017,53,4,6,17,15,9,2019,250,0
2,34.2,47.1,92.5,2,21,1012,83,3,4,14,3,9,2018,250,0
2,31.3,23.4,103.9,2,16,1029,77,1,4,13,2,3,2019,900,0
3,38,32.2,79.5,2,12,1004,76,1,1,15,26,11,2018,250,0
0,42.1,0.6,64.5,0,18,1004,63,3,1,23,17,11,2018,700,0
1,34.1,8.6,87.7,0,16,1015,77,3,1,22,25,8,2018,250,0
0,41.1,0,84.9,0,12,1004,93,3,4,22,20,11,2018,700,0
2,32.6,36.2,83.6,2,16,1021,71,3,3,13,11,4,2019,250,0
0,41.8,0,76,0,11,1016,76,5,2,0,3,4,2019,250,0
2,42.4,40.9,88.7,2,28,1022,48,4,1,14,26,9,2018,250,0
0,41.9,1.4,87,0,15,1011,58,2,1,3,9,10,2018,250,0
3,32.3,65.7,80.7,2,17,1019,77,2,2,16,12,4,2019,250,0
3,37.9,195.3,92.6,2,22,1018,88,4,3,15,9,8,2019,700,0
2,37.7,35.1,89.8,2,19,1016,72,3,1,14,29,9,2018,250,0
3,42.9,28.2,74.5,2,17,1025,40,3,1,15,10,12,2018,250,0
0,42.7,0,83.7,0,9,1010,93,1,5,0,12,11,2018,700,0
0,38.6,0.9,70,0,14,1020,100,1,4,23,22,5,2019,250,0
0,40.6,8,89.5,0,11,1023,100,4,4,21,8,2,2019,250,0
3,37.5,69.9,84.2,2,22,1020,68,2,4,15,29,9,2019,250,0
0,37.9,1.8,65.3,0,17,1019,93,1,3,22,2,6,2019,900,0
2,48.5,2.7,85.4,0,13,1008,82,2,5,4,7,11,2018,250,0
1,37.9,18.7,89.6,0,17,1017,88,3,1,20,28,7,2018,250,0
1,40.9,16.1,90.3,2,19,1022,88,3,5,13,20,9,2018,700,0
0,42.6,0,83.4,0,18,1015,100,1,6,1,16,7,2019,250,0
2,38.2,27.4,86.9,2,25,1017,83,2,3,14,9,7,2019,250,0
0,44.4,2.5,82.6,0,15,1022,100,1,6,3,2,11,2018,250,0
0,41.3,0,90.1,2,13,1023,82,3,4,9,3,3,2019,250,0
0,37.7,1.3,64.5,0,15,1017,93,3,6,23,21,6,2019,700,0
2,39.8,29.1,89.6,2,23,1015,47,4,1,19,14,8,2018,250,0
0,37.6,0,66,0,16,1016,100,1,4,5,29,6,2019,250,0
1,39.8,26.9,90.6,2,23,1019,69,5,3,13,30,7,2018,250,0
2,38.3,22.3,76.7,2,15,1020,67,2,1,15,26,1,2019,250,0
2,44.6,4.1,87.1,0,3,1021,93,5,1,7,20,2,2019,250,0
0,46.2,2.4,67.5,0,18,1017,100,3,4,23,30,9,2019,250,0
2,33.4,20.9,98.4,2,19,1029,38,2,1,14,25,2,2019,250,0
1,45.7,4.9,74.9,0,17,1014,82,2,1,20,26,8,2018,700,0
1,43.5,1.1,86.5,0,15,1020,55,2,1,0,2,10,2018,250,0
4,41.9,75.3,71.5,2,14,1013,59,3,2,9,1,4,2019,250,0
4,47.1,145.2,62.4,2,12,1014,87,1,6,8,14,6,2019,250,0
1,42.2,4.5,71.8,0,8,1020,93,1,5,20,15,1,2019,250,0
2,36.8,52.6,92,2,24,1015,54,4,1,15,1,8,2018,900,0
0,38.5,3.1,72.1,2,18,1017,93,2,4,9,29,6,2019,250,0
3,40,40.6,87.9,2,18,1017,88,4,1,17,16,10,2018,250,0
0,44.5,0,87,0,15,1014,93,0,1,2,27,8,2018,250,0
3,31.6,113.6,98.7,2,22,1026,26,6,1,16,22,2,2019,700,0
0,37.4,6.5,93,0,9,1021,76,3,3,0,17,2,2019,250,0
0,39,4.5,95.1,2,19,1016,77,1,4,10,7,7,2019,250,0
3,40.6,102.5,71.3,2,20,1015,46,3,6,17,19,4,2019,700,0
0,44.5,1.7,84.3,2,21,1016,69,3,1,6,4,8,2018,250,0
1,37.1,9.2,90.7,0,21,1019,88,2,4,20,30,7,2018,250,0
4,44.7,77.1,87.8,1,12,1016,51,4,1,7,8,10,2018,250,0
1,33.4,15.1,95.1,2,15,1023,77,9,4,12,3,3,2019,250,0
0,43.5,3.5,88.8,0,14,1011,93,1,4,3,18,10,2018,250,0
3,43,47.1,82.4,1,11,1019,62,3,1,18,19,2,2019,250,0
2,39.8,48.2,82.2,0,17,1024,48,1,1,17,10,12,2018,250,0
2,38.2,18.1,84.7,2,16,1023,77,2,1,16,13,11,2018,250,0
2,35.2,17.1,81.1,2,15,1027,77,5,1,12,5,12,2018,250,0
2,33.8,28.9,103.9,2,13,1030,54,2,1,15,4,2,2019,250,0
0,44.5,0,85,0,18,1014,63,5,1,6,13,10,2018,250,0
0,42.4,0,86.1,0,21,1016,28,3,1,5,19,8,2018,250,0
2,37.1,47.9,86.8,2,22,1018,69,3,6,11,16,9,2019,250,0
3,37.1,70.8,90.7,2,21,1019,60,3,4,16,29,7,2018,250,0
3,38.6,85.2,87.5,2,19,1016,88,2,4,16,19,9,2019,700,0
0,38.4,0,74.1,0,9,1012,81,1,3,2,23,11,2018,700,0
2,37.5,30.9,84.3,2,17,1019,67,5,1,11,14,11,2018,250,0
2,40.2,15,81.1,2,15,1032,71,2,1,13,28,2,2019,250,0
3,37.4,85.5,89.3,0,20,1007,42,3,1,18,9,10,2018,700,0
1,35.4,3.2,90.1,0,19,1016,77,6,1,20,16,8,2018,250,0
4,40.8,135.6,83,2,18,1016,93,1,4,18,19,9,2019,700,0
0,38,0,85.2,0,16,1018,100,2,1,22,13,9,2018,250,0
0,46.3,0,82.7,0,1,1031,86,0,1,4,4,2,2019,250,0
0,40.3,6.8,86.9,0,9,1023,66,6,5,20,2,2,2019,900,0
2,33.5,23.5,84.1,2,13,1025,58,4,1,14,21,1,2019,700,0
0,37.7,3.4,64.2,0,15,1017,93,2,6,0,20,6,2019,700,0
2,41.7,45.1,87.2,2,20,1017,88,2,4,18,12,8,2018,250,0
2,39.4,36.8,90,2,20,1017,64,3,1,14,14,8,2018,250,0
0,40.4,0,86.3,0,18,1015,100,0,6,4,15,7,2019,250,0
0,42,0,75.5,1,17,1000,67,5,1,7,18,11,2018,250,0
2,34.7,26.9,92.4,0,9,1023,70,6,5,19,2,2,2019,900,0
3,32.7,49.2,99.7,2,12,1025,87,1,5,17,6,2,2019,250,0
2,45.4,12.5,77.5,0,16,1011,93,5,6,20,10,11,2018,700,0
2,39.2,32.6,92.1,2,21,1022,42,4,1,17,14,2,2019,250,0
3,37.3,145.9,85.9,2,21,1015,82,4,4,10,4,7,2019,700,0
2,41.4,42.1,76.3,2,20,1011,55,3,6,15,31,3,2019,250,0
2,49.7,4.9,76,0,9,1017,100,2,4,7,18,2,2019,250,0
1,36.6,14.2,70.8,2,19,1020,88,4,3,19,30,6,2019,250,0
1,35.8,9.4,84.7,2,14,1019,82,3,4,14,1,11,2018,900,0
1,40.9,12.1,90.3,0,21,1018,77,7,4,20,12,10,2018,250,0
2,34.2,23.1,87.8,2,13,1003,82,5,3,11,31,10,2018,250,0
1,40.1,26,95.5,0,11,1021,93,2,6,22,10,4,2019,250,0
4,47,71.7,68.8,2,9,1013,93,1,4,8,23,11,2018,700,0
1,40.4,5.4,68.1,0,16,1014,88,3,6,4,26,6,2019,250,0
3,39.6,96.4,88.7,2,19,1017,77,3,3,11,16,8,2018,700,0
2,31.5,40.8,98.3,2,17,1027,77,3,6,16,2,3,2019,900,0
3,33.4,53.6,91.6,2,20,1017,83,2,6,10,9,7,2019,250,0
0,42.5,0,73.9,0,11,1023,93,2,4,5,12,12,2018,250,0
2,40.4,21.9,89.8,2,16,1018,87,2,4,10,17,10,2018,250,0
0,42.2,3.3,87.7,0,15,1017,93,0,1,0,1,8,2018,250,0
2,38.2,19.6,88.9,2,20,1018,53,1,1,13,25,10,2018,250,0
0,41.3,2,75.6,2,7,1032,100,2,5,8,9,12,2018,250,0
1,43.2,5,88.2,2,19,1019,93,2,4,7,31,7,2018,250,0
2,33.3,48.2,76.3,2,19,1017,88,3,3,14,20,6,2019,700,0
0,41.9,0,86.8,0,17,1022,88,1,1,21,23,9,2018,250,0
3,39.4,91.7,90,2,20,1016,73,7,5,16,7,8,2018,700,0
1,42,5.5,65.5,0,7,1024,93,3,1,1,27,11,2018,300,0
1,37.8,6.3,90.4,0,10,1023,76,2,1,20,20,2,2019,700,0
0,33.3,1.2,89,0,10,1028,58,4,1,3,25,2,2019,250,0
1,42,3.7,74.1,0,13,1016,76,10,4,5,29,11,2018,250,0
3,41.4,54.2,88.3,0,12,1029,66,3,1,18,11,2,2019,250,0
0,46.5,2.8,86.5,0,13,1014,93,0,1,5,26,8,2018,250,0
2,34.1,34.8,92.7,1,20,1022,69,4,1,18,23,9,2018,700,0
1,31.3,14.3,90.3,0,12,1026,93,0,6,20,2,3,2019,900,0
1,34.9,12.5,87,2,15,1015,100,1,3,7,7,7,2019,250,0
2,40,34.1,87.9,2,20,1003,68,5,1,16,10,10,2018,250,0
2,42.4,24.6,78.1,2,13,1011,76,8,5,12,22,11,2018,250,0
2,35.6,26.2,73.6,2,11,1024,66,2,3,11,11,12,2018,250,0
2,43.2,11.6,80.3,2,18,1017,88,2,3,8,7,8,2018,250,0
2,40.9,29.7,90.4,0,18,1014,77,3,1,20,19,10,2018,250,0
2,33.1,34.3,81.9,2,24,1016,49,4,2,14,20,4,2019,700,0
0,46.7,0,74.7,0,13,1018,93,0,4,1,4,11,2018,250,0
1,39.4,5.7,89.1,2,30,1016,58,2,1,13,5,8,2018,250,0
3,34.1,102.1,79.1,2,16,1013,63,4,6,11,13,6,2019,700,0
2,42.9,76.2,90,2,20,1016,68,3,1,14,5,10,2018,250,0
0,37.9,0,61.6,0,15,1013,100,1,6,4,24,6,2019,250,0
1,37.9,8.7,64.9,0,14,1015,82,3,3,22,4,6,2019,250,0
2,33.5,22.5,92.5,2,12,1019,76,5,5,12,18,2,2019,250,0
0,45.3,1,81.6,0,11,1019,93,2,5,3,9,11,2018,250,0
1,36.9,9,89.1,2,23,1016,83,2,4,12,14,7,2019,250,0
1,37.6,33.3,83.6,2,16,1016,59,2,5,13,7,11,2018,250,0
0,48.8,0,79.1,0,16,1020,93,6,6,22,23,9,2019,250,0
0,39.2,1.1,72.1,0,12,1011,77,3,1,4,17,11,2018,250,0
2,43.6,10.6,75.8,0,17,1016,93,1,6,21,19,9,2019,250,0
0,45.8,0,84.7,0,16,1021,100,2,5,1,20,9,2018,250,0
2,39.1,27.7,93.1,2,20,1017,88,3,3,10,26,7,2018,250,0
1,40.6,14.9,84.1,0,16,1019,88,4,1,22,11,8,2018,250,0
3,43.2,54.6,81.1,2,18,1021,36,8,1,9,2,10,2018,250,0
2,36.1,29.4,91.5,2,12,1023,87,5,6,16,8,2,2019,250,0
0,45.1,6.2,84.4,0,17,1020,100,2,4,2,10,8,2019,250,0
3,43.3,167.5,85,2,21,1016,77,2,3,18,16,9,2019,250,0
2,44.7,36.7,85.7,0,19,1017,68,1,1,23,20,10,2018,250,0
0,38.7,6.1,84.7,0,21,1012,82,1,1,20,2,9,2018,900,0
2,35.7,31.9,99.9,2,13,1024,71,4,6,12,8,2,2019,250,0
2,37.9,34.2,88.8,2,21,1014,64,3,5,16,6,9,2018,250,0
0,39.5,5.5,70.5,0,17,1016,88,1,4,22,3,6,2019,250,0
3,39,83.7,73.3,2,17,1021,77,3,4,10,23,5,2019,700,0
2,37.5,22.8,77.4,2,12,998,76,6,3,10,24,4,2019,250,0
2,36.1,87.7,91.3,2,19,1014,87,6,3,19,15,5,2019,700,0
1,36.2,2.5,65.7,0,13,1015,93,1,2,22,18,4,2019,250,0
2,38.7,21.1,80.2,0,10,1021,87,3,5,19,20,1,2019,700,0
4,45.1,54.6,85.3,2,25,1022,57,3,1,9,24,9,2018,250,0
2,38.9,26.5,94.6,2,20,1017,56,2,1,14,25,10,2018,250,0
0,44.2,0,85.8,0,11,1022,100,5,4,4,9,2,2019,250,0
1,47.3,12,82.6,2,17,1018,93,1,4,8,17,8,2019,250,0
1,36.5,7,91.5,0,9,1029,87,0,1,20,4,2,2019,250,0
1,39.7,7.8,88.7,2,21,1019,56,2,5,10,29,7,2018,250,0
0,37.3,0,74.5,0,11,1013,87,0,2,2,31,3,2019,250,0
0,41.3,2.4,82.6,0,10,1005,93,0,4,22,30,10,2018,250,0
3,43.6,20,62.2,2,9,1025,81,2,4,7,26,4,2019,300,0
0,45.5,1.9,84,0,14,1013,62,1,1,23,8,10,2018,700,0
0,46.1,0,79.4,0,9,1013,66,1,5,22,28,10,2018,700,0
2,34.3,33,78.6,2,23,1016,64,2,6,14,25,6,2019,250,0
1,43.5,6.9,77.1,0,7,1025,93,1,1,22,26,11,2018,250,0
0,42.1,0,74.8,2,13,1023,87,6,4,8,2,12,2018,250,0
4,49.2,143.4,63.5,2,12,1011,72,7,4,8,6,6,2019,250,0
2,40.4,27.2,83.2,2,11,1001,87,2,3,12,30,10,2018,250,0
3,39.2,46.4,70.2,2,17,1014,72,4,6,18,4,6,2019,250,0
1,32.1,20.5,91.5,2,17,1025,48,2,1,14,15,2,2019,250,0
2,40,28.3,90.1,2,12,1012,62,3,1,10,29,10,2018,250,0
3,37.3,67.3,85.4,2,19,1015,88,1,4,10,17,7,2019,250,0
3,37.5,46.6,77.5,2,15,1028,58,4,6,17,26,4,2019,250,0
4,46.9,109.6,78.9,0,11,1020,93,1,1,19,25,1,2019,700,0
1,35.6,9.1,83.9,2,17,1017,93,4,4,11,14,4,2019,250,0
1,35.7,6.1,86.8,0,10,1029,81,1,1,20,12,2,2019,250,0
1,40.4,4.4,93.3,0,11,1020,81,4,1,20,18,2,2019,250,0
0,37.9,2.3,65.2,0,16,1019,93,1,4,0,3,6,2019,250,0
0,45.1,0,82.5,0,11,1019,100,3,4,4,9,11,2018,250,0
2,42.8,34.2,85.7,2,20,1019,68,6,5,16,28,9,2018,250,0
1,40,3.5,83.1,0,10,1022,81,4,5,20,20,1,2019,700,0
2,41.9,23.2,75.4,0,17,1016,93,1,4,20,19,9,2019,250,0
1,39.1,14.4,71.2,2,13,1024,82,2,3,12,30,11,2018,250,0
0,42.2,4,89.3,2,22,1023,69,3,1,13,23,9,2018,250,0
0,43.8,0,86.3,2,14,1015,100,1,4,7,8,8,2018,250,0
1,33.4,5.7,65.6,2,22,1017,72,6,6,12,27,5,2019,250,0
0,47.1,0,83.4,0,3,1021,93,4,1,4,20,2,2019,250,0
0,39.4,0,89.7,0,12,1017,93,0,3,21,17,2,2019,250,0
0,44.4,5.8,80.9,0,17,1010,77,4,4,2,21,9,2019,250,0
3,34.1,50.4,92.7,2,24,999,68,1,1,10,22,8,2018,300,0
0,33.6,5.3,68.5,0,14,1013,100,3,4,6,22,9,2019,250,0
3,41.9,46.3,86.6,2,22,1021,73,5,1,16,21,9,2018,250,0
2,42.1,28.6,81.2,2,14,1020,67,5,1,10,14,11,2018,250,0
2,47.8,10.4,66.8,0,10,1023,54,6,1,23,10,12,2018,300,0
0,42.6,0,89.2,2,15,1017,87,3,6,6,29,7,2018,250,0
2,32.7,39.3,94.1,2,11,1021,57,7,5,16,2,2,2019,900,0
2,35,18,89,2,25,1022,21,5,1,11,3,10,2018,250,0
4,46.3,95.1,68.5,2,22,1017,88,7,6,19,28,6,2019,300,0
0,37,3,95.2,0,9,1023,87,2,3,0,21,2,2019,700,0
2,33.5,15.5,75.8,2,16,1020,67,4,3,13,6,5,2019,250,0
3,41.4,110.4,67.4,2,14,1013,87,6,4,9,9,5,2019,700,0
3,40.9,58,83.2,2,21,1021,77,3,6,16,26,9,2019,250,0
2,39.4,27,89.5,2,21,1016,73,6,5,16,27,7,2018,250,0
2,40.7,30.9,88.5,1,18,1020,68,5,1,19,10,8,2018,250,0
3,40.7,104.4,89.9,2,10,1023,66,5,1,10,21,2,2019,700,0
0,38.4,5.4,99.1,2,16,1010,77,4,1,9,17,11,2018,250,0
2,34.3,14.9,78.7,2,21,1018,82,5,4,12,29,6,2019,250,0
0,41.4,0,85.4,0,12,998,76,2,4,23,31,1,2019,250,0
2,40.1,31.5,88.8,0,16,1011,87,4,3,18,10,11,2018,250,0
0,39.1,0,86.8,0,0,1027,93,0,1,4,3,2,2019,250,0
3,44.3,19.9,85.8,1,24,1016,73,2,1,19,3,8,2018,250,0
1,41.1,11.6,82,2,23,1020,57,3,1,13,11,8,2018,250,0
1,42.8,3.3,75.2,0,17,1021,59,0,1,20,2,10,2018,250,0
2,38.3,27.5,83.1,2,13,1019,62,7,5,15,18,2,2019,250,0
0,39.3,0,70.9,2,8,1024,93,3,4,9,1,12,2018,900,0
0,38.3,7.7,75.7,0,12,1022,81,3,4,0,28,11,2018,250,0
1,47.4,1.3,73.2,0,8,1020,93,2,1,4,25,1,2019,700,0
0,44.9,3.8,82.5,0,16,1017,100,0,4,4,28,8,2019,250,0
0,41.4,0,89.6,0,10,1016,87,5,4,6,5,3,2019,250,0
1,36,13.1,111.1,0,11,1029,81,1,1,22,23,2,2019,700,0
1,36.8,4.5,76.6,0,12,1023,51,6,1,21,10,12,2018,250,0
2,45.7,5.1,79.5,0,5,1021,100,0,1,2,19,2,2019,250,0
2,39.8,8.6,70.6,2,22,1017,82,3,6,12,25,6,2019,250,0
1,37.3,4.5,77.4,1,11,1004,87,4,2,6,22,4,2019,700,0
0,36.7,4.8,79.1,0,15,1029,82,2,4,23,5,12,2018,250,0
3,31.2,92.6,82.8,0,15,1022,87,7,4,17,2,12,2018,900,0
2,38.1,70.4,92.1,1,16,1020,62,1,1,18,16,2,2019,250,0
1,48.5,3.9,78.5,0,12,993,71,7,4,6,1,2,2019,250,0
3,40.4,52.4,87.4,2,24,1016,47,5,5,15,20,10,2018,700,0
3,40.9,84,88.9,1,21,1026,40,4,1,18,22,2,2019,700,0
2,38.8,17.3,81.9,0,12,1024,100,5,4,22,1,12,2018,700,0
1,33.5,7.5,87.9,0,14,1028,71,2,1,20,24,2,2019,250,0
1,37.9,15.7,81.6,0,16,1019,93,3,1,20,28,9,2018,250,0
0,42,0,77.7,0,13,1017,76,4,6,22,17,5,2019,250,0
0,43.1,0,82.7,2,19,1016,49,6,1,7,18,8,2018,250,0
2,37.3,36.1,90.3,2,29,1015,39,3,1,12,21,8,2018,700,0
2,37.9,21.7,89.3,2,22,1015,53,3,1,14,26,8,2018,250,0
4,41,65,84.2,0,14,1016,93,1,1,19,15,11,2018,250,0
2,52.1,3.5,69.2,0,13,1014,66,7,4,1,26,11,2018,250,0
0,41.8,1.2,86.5,0,16,1015,77,6,1,23,11,10,2018,700,0
1,31.5,16.8,72.9,2,13,1023,71,6,4,11,28,11,2018,250,0
3,46.1,44.2,83.4,2,21,1011,60,5,5,17,18,10,2018,700,0
0,46.6,2.1,85.3,0,18,1011,88,0,1,1,3,9,2018,250,0
3,42.4,37.1,86.6,1,22,1019,46,5,1,18,1,10,2018,250,0
0,40.7,1.9,78.5,2,20,1014,68,1,5,9,8,9,2018,250,0
0,43.5,5.1,75.6,0,17,1021,88,2,1,20,22,10,2018,250,0
3,41,37.3,84.3,0,11,1021,66,3,5,18,17,1,2019,250,0
0,39.6,0,89.1,0,18,1021,68,3,1,21,10,9,2018,250,0
1,48.5,3.5,81.1,0,9,1016,100,3,4,6,18,2,2019,250,0
3,36.9,71.3,90.5,2,21,1016,83,3,4,16,6,8,2018,250,0
1,31.3,19.9,98.5,2,17,1028,72,3,3,14,2,3,2019,900,0
3,42.4,61.5,86.6,2,20,1018,73,2,1,16,13,9,2018,250,0
2,38.8,17.2,88.8,0,16,1020,82,3,1,20,10,8,2018,250,0
1,42.5,2.9,75.1,2,20,1017,72,4,6,13,22,9,2019,250,0
1,37.2,12.9,93.9,0,10,1024,81,1,5,21,15,2,2019,250,0
1,41.4,4.1,65.3,0,16,1013,52,2,2,2,21,4,2019,700,0
0,42.1,2.5,82.6,0,6,1025,81,1,5,22,2,2,2019,250,0
0,44.8,0,81.4,0,17,1018,88,5,4,1,9,8,2018,250,0
2,47.3,4.3,68,0,11,1022,93,2,4,7,12,12,2018,300,0
4,47.9,91.1,68.8,2,8,1027,58,5,1,8,10,12,2018,300,0
0,43.5,0,76.5,0,18,1019,93,2,4,0,30,9,2019,250,0
2,36,53.4,96.4,2,13,1023,58,5,1,11,21,2,2019,700,0
1,35.4,4.1,67.6,0,12,1020,76,2,2,22,29,3,2019,250,0
3,41.7,105.1,84.4,2,21,1017,88,3,6,16,9,8,2019,250,0
1,35.5,11.8,46.4,2,21,1022,73,4,6,16,11,8,2019,250,0
2,34.4,30.8,91.6,2,24,1023,33,6,1,14,23,10,2018,700,0
0,42.9,0,82.1,0,17,1013,88,3,4,2,4,7,2019,250,0
2,38.1,37.9,83.9,2,22,1021,64,6,1,14,19,9,2018,250,0
2,45.7,14.4,85.4,0,14,1019,100,0,3,21,16,10,2018,250,0
2,51.7,3.9,79.6,0,9,1024,87,1,1,2,16,2,2019,250,0
3,43.4,42.7,80.8,2,22,1013,35,4,1,17,8,10,2018,700,0
2,39.1,15.1,70.6,2,16,1018,51,4,2,7,20,4,2019,700,0
0,45.8,0,87,0,17,1010,100,2,5,4,3,9,2018,250,0
2,42.4,23.1,83.3,2,27,1013,39,3,1,17,21,8,2018,700,0
2,34.9,32.9,96.9,2,14,1032,87,2,1,12,9,12,2018,250,0
0,42,0,75.6,1,10,1021,81,4,4,8,27,1,2019,700,0
4,46.2,97.3,63.1,2,3,1025,100,2,1,9,21,1,2019,250,0
1,39.5,10.2,90.2,2,17,1014,88,1,4,10,24,6,2019,250,0
0,44.9,0,85.9,0,19,1016,60,3,1,2,18,8,2018,250,0
1,44,14.8,85.5,2,28,1015,33,6,1,11,1,9,2018,250,0
0,41,0,90.9,0,10,1024,62,4,1,5,26,2,2019,250,0
1,37,13.3,97.4,2,15,1029,77,1,4,12,2,3,2019,900,0
2,39.9,36.3,90.2,2,20,1022,68,7,6,13,10,9,2019,250,0
1,45.2,6.3,77,0,19,1014,93,1,1,23,21,8,2018,700,0
3,45.4,40.7,84.4,2,21,1022,77,4,6,14,11,8,2019,250,0
0,35,4,87.1,0,18,1013,100,5,4,0,3,7,2019,250,0
1,38.6,5.9,62.9,0,13,1016,76,5,6,20,17,5,2019,250,0
2,33.6,23.7,76.5,2,21,1020,82,1,6,11,1,7,2019,900,0
3,42.9,53.2,86.5,2,16,1014,82,4,5,15,26,10,2018,700,0
4,48,112.7,82.3,2,15,1023,42,7,1,8,23,10,2018,250,0
4,47.2,52,78.5,2,8,1026,71,4,1,8,22,2,2019,250,0
4,44.5,81,77.3,2,16,1021,87,3,6,9,23,9,2019,250,0
3,39.7,76.5,71.8,2,20,1016,82,2,4,17,26,6,2019,250,0
3,39.8,59.6,75.1,2,21,1016,77,3,4,16,26,6,2019,250,0
2,37.2,50.4,83,2,14,1020,71,5,3,16,20,1,2019,700,0
0,49.2,0,81.3,0,11,1019,100,0,1,5,30,8,2018,250,0
1,37.6,4.6,62.4,2,16,1015,88,2,3,9,22,6,2019,700,0
1,44.7,7.2,84.4,0,17,1016,100,2,4,23,15,8,2018,250,0
2,38.3,16.1,88.3,0,16,1018,100,5,4,6,28,8,2019,250,0
1,41.6,11.9,82.5,2,21,1019,64,3,5,13,29,7,2018,250,0
1,35.9,3.9,71.5,0,11,1014,82,5,3,22,23,11,2018,700,0
0,39.9,1.8,80.4,0,17,1017,100,3,6,1,6,7,2019,250,0
2,34,44.6,87.4,2,19,1020,100,2,4,11,24,9,2019,250,0
3,38.4,28,83.9,2,18,1015,68,2,1,10,19,10,2018,250,0
2,37.6,26.4,87.4,2,24,1019,41,2,1,11,4,10,2018,250,0
1,44.1,6.9,86.8,0,17,1023,93,1,1,22,22,9,2018,250,0
1,47.8,8.9,82.1,0,14,1020,100,3,3,5,11,8,2019,250,0
2,35.8,45.5,88.2,2,22,1016,88,3,4,15,15,7,2019,250,0
2,39.4,28.2,90,2,23,1016,44,5,1,18,14,8,2018,250,0
1,33.4,11.6,83,0,14,1014,82,3,6,20,18,4,2019,250,0
0,43.3,0,85.7,0,14,1016,100,0,1,3,31,8,2018,250,0
0,47,0,72.7,0,8,996,76,5,3,4,23,4,2019,700,0
0,42.6,0,92,0,12,1015,62,6,1,5,27,10,2018,250,0
2,39.7,13.7,78,2,18,1026,63,4,1,14,5,12,2018,250,0
0,40,2,87.9,0,13,1017,100,0,5,2,17,9,2018,250,0
0,37.8,1.8,67.4,1,10,1010,100,3,3,6,18,4,2019,250,0
2,45.3,28.1,70.3,2,22,1016,68,6,6,15,27,5,2019,250,0
0,47.7,0,71.3,0,8,1025,93,1,4,23,27,1,2019,700,0
0,43.3,1.5,79.5,2,13,1024,100,1,4,9,3,11,2018,250,0
1,37.5,10.8,85.7,1,19,1013,88,3,5,19,4,9,2018,250,0
